"event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"Observation","158 - Fifteenmile Ck at Eightmile Ck","D6","D5","Downstream Fifteenmile Ck","Middle Fifteenmile Ck",100,NA
"Observation","15D - Fifteenmile Ck at Dry Ck","C4","C1","Downstream Fifteenmile Ck","Upstream Fifteenmile Ck",100,NA
"Observation","15R - Fifteenmile Ck at Ramsey Ck","E6","E6","Downstream Fifteenmile Ck","Downstream Fifteenmile Ck",100,NA
"Observation","TR2 - Trout/Antelope Cr - Deschutes","F3","F1","Trout C. Array","Trout C. Array",100,NA
"Observation","TR1 - Lower Trout Cr - Deschutes","01","05","Upstream Array","Downstream Array",100,NA
"Observation","LMJ - Lower Monumental Dam Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA
"Observation","PRV - Walla Walla R at Pierce RV Prk","A1","A1","ARRAY","ARRAY",100,NA
"Observation","MDR - McDonald Road Bridge","01","01","Single Array","Single Array",100,NA
"Observation","MCD - Mill Creek Diversion Project","A2","A3","DIVISION WORKS FISH LADDER","DIVISION WORKS SPILLWAY BASIN",170,NA
"Observation","NBA - Nursery Bridge Adult","02","01","EAST [NEW] LADDER","EAST [NEW] LADDER",150,NA
"Observation","ORB - Oasis Road Bridge","B3","B3","PASS-THROUGH [DOWNSTREAM] 3","PASS-THROUGH [DOWNSTREAM] 3",130,NA
"Observation","BGM - Burlingame Dam and Canal","F4","F4","ADULT FISHWAY","ADULT FISHWAY",110,NA
"Observation","John Day Dam Adult Fishways (combined)","07","03","WEIR 246","WEIR 247",100,NA
"Observation","ICB - Ice Harbor Bypass","A1","A4","FULL FLOW BYPASS","FULL FLOW BYPASS",100,NA
"Observation","LTR - Lower Tucannon River","05","05","DOWNSTREAM LEFT ANTENNA","DOWNSTREAM LEFT ANTENNA",160,NA
"Observation","MTR - Middle Tucannon River","01","01","UPSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"Observation","UTR - Upper Tucannon River","A6","A2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","ROZ - Roza Diversion Dam (Combined)","03","01","DOWNSTREAM WEIR","UPSTREAM WEIR",110,NA
"Observation","YHC - Yellowhawk Creek","A1","A1","INSTREAM ANTENNA AT HEADGATE","INSTREAM ANTENNA AT HEADGATE",110,NA
"Observation","JDJ - John Day Dam Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",160,NA
"Observation","B2J - Bonneville PH2 Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA
"Observation","TOP - Lower Toppenish Creek","26","23","Downstream","Upstream",100,NA
"Observation","WR1 - Wallowa River at river km 14","A3","A3","Left Center","Left Center",100,NA
"Observation","RIA2 - Rock Island Adult Middle Ladder","07","05","MIDDLE LADDER BAFFLE 2","MIDDLE LADDER BAFFLE 4",100,NA
"Observation","SCP - Spring Creek Acclimation Pond","F6","F6","Downstream Antennas","Downstream Antennas",120,NA
"Observation","CRW - Chewuch River above Winthrop","03","03","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","MSH - Methow Fish Hatchery Outfall","00","02","Trap","Middle Antenna",110,NA
"Observation","DBH - Buck Hollow Ck Deschutes Trib","96","94","Downstream","Upstream",100,NA
"Observation","SUN - Sunnyside Instream Array","08","0B","Upstream Array","Downstream Array",100,NA
"Observation","SWK - Lower Swauk Creek","C3","C1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",120,NA
"Observation","LMT - Lower Mainstem Teanaway River","B6","B6","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"Observation","UMT - Upper main stem Teanaway River","14","11","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","NFT - North Fork Teanaway River","F6","F3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","WSR - Warm Springs River PIT Array","01","01","PIT Tag Array","PIT Tag Array",100,NA
"Observation","WSH - Warm Springs Hatchery","01","01","ADULT FISHWAY","ADULT FISHWAY",100,NA
"Observation","MWF - Whitefish SC in Methow River","E5","E5","Upper Site - Lower Array","Upper Site - Lower Array",100,NA
"Observation","RRJ - Rocky Reach Dam Juvenile","B6","B6","DSM BYPASS SURFACE COLLECTOR","DSM BYPASS SURFACE COLLECTOR",150,NA
"Observation","MCJ - McNary Dam Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",170,NA
"Observation","SAT - Lower Satus Creek","12","12","Upstream","Upstream",100,NA
"Observation","LFF - Lyle Falls Fishway","03","01","BYPASS CHANNEL","BYPASS CHANNEL",100,NA
"Observation","BCC - BON PH2 Corner Collector","01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA
"Observation","TAN - Taneum Creek Instream","03","03","Single Antenna","Single Antenna",120,NA
"Observation","DSF - Deschutes Sherars Falls","02","01","Main Fishway","Main Fishway",100,NA
"Observation","DBO - Bakeoven Ck Deschutes Trib","A4","A4","Upstream","Upstream",100,NA
"Observation","RIA1 - Rock Island Adult Left Ladder","03","01","LEFT LADDER BAFFLE 2","LEFT LADDER BAFFLE 4",100,NA
"Observation","ACM - Asotin Creek near mouth","03","03","MIDDLE ARRAY","MIDDLE ARRAY",110,NA
"Observation","ACB - Asotin Cr. at Cloverland Brdg.","03","03","5-ANTENNA PARALLEL ARRAY","5-ANTENNA PARALLEL ARRAY",100,NA
"Observation","AFC - No./So. Fk Asotin Cr. Jct. ISA","05","02","MAINSTEM ASOTIN CREEK ARRAY","NORTH FORK ASOTIN CREEK ARRAY",100,NA
"Observation","GOJ - Little Goose Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA
"Observation","HRM - Hood River Mouth","F4","F4","MIDDLE","MIDDLE",100,NA
"Observation","TUF - Tumwater Dam Adult Fishway","A2","A1","WEIR 14","WEIR 17",100,NA
"Observation","UWE - Upper Wenatchee River","B6","B6","IN-STREAM ARRAY","IN-STREAM ARRAY",110,NA
"Observation","NAL - Lower Nason Creek","65","61","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","LAP - Lapwai Creek, near its mouth","A5","A1","LOWER INSTREAM ARRAY","UPPER INSTREAM ARRAY",120,NA
"Observation","SWT - Sweetwater Cr. near its mouth","B3","B1","LOWER INSTREAM ARRAY","UPPER INSTREAM ARRAY",110,NA
"Observation","WEB - Webb Creek","D2","D1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"Observation","IR1 - Lower Imnaha River ISA @ km 7","B4","B3","STREAM BANK RIGHT","STREAM CENTER RIGHT",100,NA
"Observation","IR2 - Lower Imnaha River ISA @ km 10","A4","A3","STREAM CENTER RIGHT","STREAM CENTER",100,NA
"Observation","BSC - Big Sheep Creek ISA at km 6","A3","A4","DOWNSTREAM LEFT","DOWNSTREAM RIGHT",100,NA
"Observation","GRJ - Lower Granite Dam Juvenile","F1","F2","ADULT FISH RETURN","ADULT FISH RETURN",140,NA
"Observation","TFH - Tucannon Fish Hatchery","F4","F1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","NAU - Upper Nason Creek","41","41","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","DWL - Dworshak NFH adult trap","A1","A2","UPSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA
"Observation","SC2 - Lower SF Clearwater R at rkm 2","A1","A1","INSTREAM ARRAY","INSTREAM ARRAY",100,NA
"Observation","SC1 - Lower SF Clearwater R at rkm 1","B2","B6","INSTREAM ARRAY","INSTREAM ARRAY",100,NA
"Observation","CLC - Clear Creek near Kooskia NFH","04","04","Clear Creek Array","Clear Creek Array",100,NA
"Observation","LC1 - Lower Lolo Creek at rkm 21","B3","B4","SINGLE ARRAY","SINGLE ARRAY",100,NA
"Observation","MCI - Mill Creek Intake Dam","03","01","LEFT BANK FISH LADDER","LEFT BANK FISH LADDER",100,NA
"Observation","LC2 - Upper Lolo Creek at rkm 25","A4","A3","SINGLE ARRAY","SINGLE ARRAY",100,NA
"Observation","FDD - Feed Diversion Dam","B2","B1","LOWER DAM NOTCH","UPPER DAM NOTCH",100,NA
"Observation","TWX - Estuary Towed Array (Exp.)","C4","C1","MATRIX TRAWL [CURRENT]","MATRIX TRAWL [CURRENT]",170,NA
"Observation","PRH - Priest Rapids Hatchery Outfall","F6","F1","OUTFALL CHANNEL","OUTFALL CHANNEL",100,NA
"Observation","JOC - Joseph Creek ISA @ km 3","A4","A4","DOWNSTREAM LEFT","DOWNSTREAM LEFT",100,NA
"Observation","CCA - Lower Charley Creek ISA","02","01","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",110,NA
"Observation","ENL - Lower Entiat River","23","23","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","ENM - Middle Entiat River","56","56","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA
"Observation","ENS - Upper Entiat River at rkm 35.7","66","64","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"Observation","RCT - Roaring Creek Temporary Array","01","01","Instream Array","Instream Array",100,NA
"Observation","CMP - Camp Creek at rkm 2 - Imnaha","C2","C2","Upstream Array","Upstream Array",100,NA
"Observation","JD1 - John Day River, McDonald Ferry","0B","0B","Downstream Array","Downstream Array",110,NA
"Observation","COC - Cow Creek ISA @ stream mouth","A2","A1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"Observation","BBT - Touchet River at Bolles Bridge","F6","F6","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"Observation","UGR - Upper Grande Ronde at rkm 155","A5","A5","SINGLE ARRAY","SINGLE ARRAY",100,NA
"Observation","CCW - Catherine Creek Ladder/Weir","C2","C1","Bottom Ladder Antenna","Top Ladder Antenna",100,NA
"Observation","OMK - Omak Creek Instream Array","A5","A2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"Observation","TNK - Tunk Creek Instream Array","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","MIS - Mission Creek","C2","C1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"Observation","LLC - Loup Loup Creek Instream Array","D3","D3","Three Antenna Series","Three Antenna Series",100,NA
"Observation","JOH - Johnson Creek","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","ZSL - Zosel Dam Combined","A2","A1","Left Ladder Weir 3","Left Ladder Weir 2",110,NA
"Observation","SA1 - Salmon Creek Instream Array","B2","B2","MIDDLE ANTENNA","MIDDLE ANTENNA",100,NA
"Observation","MRT - Methow River at Twisp","04","04","Upstream array","Upstream array",120,NA
"Observation","BVC - Beaver Creek, Methow River","B1","B1","Upstream Antenna","Upstream Antenna",110,NA
"Observation","AEN - Aeneas Creek Temporary Array","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","CHP - Chiwawa Acc. Pond","01","01","POND 2","POND 2",110,NA
"Observation","CHL - Lower Chiwawa River","83","83","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","OMF - Omak Creek above Mission Falls","F1","F4","Upstream Array","Downstream Array",100,NA
"Observation","CHU - Upper Chiwawa River","95","95","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA
"Observation","JDM - Upper John Day River Array","04","04","Downstream Array","Downstream Array",100,NA
"Observation","CHW - Chiwaukum Creek","B6","B3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"Observation","BVT - Beaver Creek Temporary Array","01","01","Instream Array","Instream Array",100,NA
"Observation","BVP - Beaver Creek Acclimation Pond","02","02","POND EXIT","POND EXIT",110,NA
"Observation","MAD - Mad River, Entiat River Basin","36","31","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","ICL - Lower Icicle Instream Array","02","02","Upstream Array","Upstream Array",110,NA
"Observation","BBP - Blackbird Pond Accl. Site","01","01","Pond Outfall","Pond Outfall",100,NA
"Observation","BMT - Big Meadow Temporary Array","01","01","Single Antenna","Single Antenna",100,NA
"Observation","BR0 - Bridge Creek Gauge","B1","B2","Upstream","Downstream",100,NA
"Observation","IR3 - Upper Imnaha River ISA @ km 41","C4","C2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","CHM - Chumstick Creek","F3","F3","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA
"Observation","MCL - Lower Mission Creek Instream","B5","B5","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"Observation","FST - Foster Creek","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","HLM - Potlatch River near Helmer","A4","A4","Downstream Array","Downstream Array",110,NA
"Observation","USE - Upper Salmon River at rkm 437","B6","B6","ARRAY","ARRAY",100,NA
"Observation","STL - Sawtooth Hatchery Adult Trap","A3","A3","KEYWAY 1 - ORIFICE","KEYWAY 1 - ORIFICE",100,NA
"Observation","KHS - Big Bear Cr. @ Kendrick HS","04","04","Upstream Array","Upstream Array",140,NA
"Observation","LRW - Lemhi River Weir","A5","A2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"Observation","USI - Upper Salmon River at rkm 460","A1","A1","ARRAY","ARRAY",100,NA
"Observation","85M - Eightmile Ck at Fivemile Ck","F6","F4","Downstream Eightmile Ck","Upstream Eightmile Ck",100,NA
"Observation","TLT - Tillicum Creek Temporary Array","01","01","Instream Array","Instream Array",100,NA
"Observation","YFK - Yankee Fork Salmon River","A3","A1","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","BHL - Adult Fishway at BONH","01","01","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","VC2 - Valley Creek, Downstream Site","B6","B5","Downstream 3-antenna Array","DOWNSTREAM 3-ANTENNA ARRAY",130,NA
"Observation","MRW - Methow River at Winthrop","B4","B2","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"Observation","GLC - Gold Creek, Methow River","E1","E5","UPPER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",110,NA
"Observation","VC1 - Valley Creek, Upstream Site","A2","A4","UPSTREAM ARRAY","DOWNSTREAM ARRAY",120,NA
"Observation","SJ1 - SF John Day (Mid)","E4","E1","Downstream","Upstream",100,NA
"Observation","SJ2 - SF John Day (Murderer's)","D4","D6","Downstream SF John Day","Murderers Creek",100,NA
"Observation","MJ1 - Middle Fork John Day Array","A3","A3","Upstream Array","Upstream Array",110,NA
"Observation","LRL - Lower Lochsa River Array Site","A2","A2","Instream Array","Instream Array",100,NA
"Observation","ENA - Upper Entiat River at rkm 17.1","44","45","DOWNSTREAM ANTENNA ARRAY","DOWNSTREAM ANTENNA ARRAY",100,NA
"Observation","ENF - Upper Entiat River at rkm 40.6","81","85","UPSTREAM ARRAY","DOWNSTREAM ARRAY",100,NA
"Observation","CRU - Upper Chewuch Instream Array","04","06","Downstream Array","Downstream Array",100,NA
"Observation","MRC - Methow River at Carlton","01","02","Single Array","Single Array",100,NA
"Observation","TWR - Lwr Twisp Rvr near MSRF Ponds","B6","B3","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","TAY - Big Creek at Taylor Ranch","B3","A1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","3D4 - Bottom of 3D Side Channel","13","13","Pass Through Antenna","Pass Through Antenna",100,NA
"Observation","3D3 - Middle-2 of 3D Side Channel","12","12","Pass Through Antenna","Pass Through Antenna",100,NA
"Observation","CRT - Crooked River Satellite Fac.","F1","F2","ADULT RETURN LADDER","ADULT RETURN LADDER",110,NA
"Observation","HST - Touchet River at Harvey Shaw","04","04","Upstream Array","Upstream Array",100,NA
"Observation","COP - Lower Coppei Instream Array","02","01","Downstream Array","Upstream Array",100,NA
"Observation","ZEN - Secesh River at Zena Cr. Ranch","B6","A1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",110,NA
"Observation","LOR - Lost River at rkm 0.81","F4","F5","Downstream Array","Downstream Array",100,NA
"Observation","EWC - Early Winters Creek rkm 0.36","B3","B3","Upstream Array","Upstream Array",100,NA
"Observation","LRU - Lochsa River Upper Site","A1","A1","Instream Array","Instream Array",100,NA
"Observation","18N - 1890s Channel Methow River","A3","A2","Downstream Array","Middle Array",100,NA
"Observation","WFC - Wolf Creek, Methow River","11","11","SINGLE IN-STREAM ANTENNA","SINGLE IN-STREAM ANTENNA",100,NA
"Observation","BPC - Bonaparte Creek Instream Array","C3","C1","Three Antenna Series","Three Antenna Series",100,NA
"Observation","OBF - Omak Creek below Mission Falls","B1","B1","Single Antenna","Single Antenna",100,NA
"Observation","SA0 - Salmon Creek below OID Div.","E4","E2","Downstream Array","Upstream Array",100,NA
"Observation","TON - Tonasket Creek","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","SHK - Shitike Creek PIT Array","03","03","PIT Tag Array","PIT Tag Array",100,NA
"Observation","WPC - Wimpey Creek, Lemhi R. Basin","01","09","Upstream Array","Downstream Array",100,NA
"Observation","BHC - Bohannon Creek Lemhi R Basin","01","03","Upstream Array","Downstream Array",110,NA
"Observation","AGC - Agency Creek, Lemhi R. Basin","02","01","Middle Array","Upstream Array",100,NA
"Observation","LLS - Lemhi Little Springs Instream","A2","A2","DOWNSTREAM ANTENNA","DOWNSTREAM ANTENNA",100,NA
"Observation","WW1 - Harris Bridge S F Walla Walla","02","02","RIGHT","RIGHT",140,NA
"Observation","WW2 - SF Walla Walla at Bear Creek","02","02","RIGHT","RIGHT",120,NA
"Observation","BR1 - Bridge Creek Kiosk","F2","F1","Downstream","Upstream",100,NA
"Observation","BR2 - Bridge Creek Gable","B4","B1","Downstream Bridge Creek","Upstream Bridge Creek",100,NA
"Observation","SFG - SF Salmon at Guard Station Br.","A4","A4","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA
"Observation","BR3 - Bridge Creek Ranch","F5","F2","Downstream","Upstream",100,NA
"Observation","EVL - Eagle Valley Ranch - Lower","05","01","Downstream Array","Upstream Array",100,NA
"Observation","EVU - Eagle Valley Ranch - Upper","06","03","Downstream Array","Upstream Array",100,NA
"Observation","WHS - Wildhorse Spring Creek","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","CRC - Carmen Creek, Salmon R. Basin","03","07","Upstream Array","Downstream Array",100,NA
"Observation","WL2 - Bottom of Wilson Creek channel","05","05","SINGLE ANTENNA","SINGLE ANTENNA",100,NA
"Observation","UMF - Umatilla R below Feed Dam","05","05","Streamwidth array","Streamwidth array",100,NA
"Observation","BCP - Butcher Creek Acclimation Pond","02","02","POND EXIT","POND EXIT",100,NA
"Observation","0HR - Henrys Instream Array","01","01","Main Array","Main Array",100,NA
"Observation","ESS - EFSF Salmon River at Parks Cr.","B4","B4","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY",100,NA
"Observation","LNR - Lower Naches River","05","05","Single Array","Single Array",100,NA
"Observation","CZY - Crazyman Creek at 0.6 km","A4","A2","Downstream Array","Upstream Array",100,NA
"Observation","MTD - Mill Creek at The Dalles","B2","B1","Downstream Array","Upstream Array",100,NA
"Observation","RCJ - Rock Creek John Day Basin","02","02","Downstream Array","Downstream Array",100,NA
"Observation","JUL - Potlatch River near Juliaetta","A6","A6","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA
"Observation","PES - Peshastin Creek","11","11","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","LBC - Libby Creek, Methow River","C4","C4","SINGLE IN-STREAM ANTENNA","SINGLE IN-STREAM ANTENNA",100,NA
"Observation","RFP - Rolfing Acclimation Pond","02","02","POND EXIT","POND EXIT",100,NA
"Observation","MRB - Methow River Basin","E5","E3","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH",100,NA
"Observation","MWE - Middle Wenatchee River","75","75","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA
"Observation","UM2 - Umatilla River Instream Array","F3","F3","IN-STREAM ARRAY","IN-STREAM ARRAY",100,NA
"Observation","WEJ - Wells Dam Bypass Bay Sample","B4","B4","Baffle Section 5","Baffle Section 5",110,NA
"Observation","M3R - 3R side channel Methow River","D2","D2","Downstream Array","Downstream Array",100,NA
"Observation","30M - Thirtymile Crk John Day Basin","02","02","Downstream Array","Downstream Array",100,NA
"Observation","ANT - Antoine Creek Instream Array","14","11","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"Observation","GRS - Lower Granite Dam Spillway","0A","0A","Downstream","Downstream",100,NA
"Observation","UGS - Upper Grande Ronde Starkey","E7","E3","Downstream Array","Upstream Array",100,NA
"Observation","NMC - Ninemile Creek Instream Array","24","21","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"Observation","WEH - Wells Dam Hatchery","A2","A2","Volunteer Channel","Volunteer Channel",110,NA
"Observation","SAD - Salmon Creek Above OID Div.","D1","D1","Single Array","Single Array",100,NA
"Observation","WAN - Wanacut Creek","A1","A1","Single Antenna","Single Antenna",100,NA
"Observation","JPT - Juvenile Pond Touchet","D3","D1","Downstream Array","Upstream Array",110,NA
"Observation","ICM - Middle Icicle Instream Array","05","01","Downstream Array","Upstream Array",100,NA
"Observation","MVP - Mid-Valley Acclimation Pond","03","01","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"Observation","OKC - Okanagan River at VDS-3","A8","A4","Downstream Array","Upstream Array",110,NA
"Observation","OKV - Vaseux Creek, BC, Canada","05","02","Downstream Array","Upstream Array",100,NA
"Observation","MJ2 - Middle Fork John Day Ritter","02","02","Downstream Array","Downstream Array",130,NA
"Observation","CWP - Chewuch Acclimation Pond","03","01","Pond Outlet","Release Chamber",100,NA
"Observation","EBO - East Bank Hatchery Outfall","02","01","Downstream Antenna","Upstream Antenna",110,NA
"Observation","SSJ - SUNNYSIDE JUVENILE","01","05","Trash Rack Bays","Bypass Entrance",110,NA
"Observation","JDC - Cottonwood Creek, NF John Day","02","02","Downstream Antenna","Downstream Antenna",100,NA
"Observation","MTP - Twisp Acclimation Pond","A3","A3","Outlet Channel","Outlet Channel",100,NA
"Observation","LSC - Little Sheep Cr Seasonal IPTDS","D4","D1","Downstream Array","Upstream Array",100,NA
"Observation","LWB - Lower Wenatchee Barge","03","02","Single Array","Single Array",100,NA
"Observation","GCM - Grouse Creek Mouth","02","01","Downstream Antenna","Upstream Antenna",100,NA
"Observation","PEL - Pelton Dam Ladder - Deschutes","04","04","Adult Weir","Adult Weir",110,NA
"Observation","MR1 - Minam River at river km 0.5","07","03","Downstream Array","Upstream Array",100,NA
"Observation","WR2 - Wallowa River at rkm 32","05","05","Left Bank","Left Bank",120,NA
"Observation","IR5 - Imnaha Weir Upstream Array","05","01","Downstream Array","Upstream Array",100,NA
"Observation","IR4 - Imnaha Weir Downstream Array","04","04","Downstream Array","Downstream Array",100,NA
"Observation","SC3 - South Fork Clearwater Site 3","05","05","Single Array","Single Array",100,NA
"Observation","CML - Chewuch River Middle Lower","01","01","Single Array","Single Array",100,NA
"Observation","CMU - Chewuch River Middle Upper","04","04","Single Array","Single Array",100,NA
"Observation","RSH - Ringold Springs Hatch. Outfall","03","01","Downstream Array","Upstream Array",100,NA
"Observation","LAW - Lawyer Creek Seasonal IPTDS","03","01","Downstream Array","Upstream Array",100,NA
"Observation","WWB - Walla Walla River Barge Array","B5","B5","Downstream Barge","Downstream Barge",110,NA
"Observation","PD6 - Columbia River Estuary rkm 68","04","04","Perpendicular.vertical.upstream","Perpendicular.vertical.upstream",120,NA
"Observation","PAT - Pattit Creek Instream Site","02","01","Downstream Array","Upstream Array",100,NA
"Observation","EPR - East Fork Potlatch Array","02","01","Downstream Antenna","Upstream Antenna",100,NA
"Observation","AH1 - Ahtanum at Lasalle HS","02","01","Downstream Antenna","Upstream Antenna",100,NA
"Observation","UMW - Umatilla R Recycled Water Fac","01","01","Streamwidth array","Streamwidth array",110,NA
"Observation","FDC - Feed Canal","01","01","Bypass Outfall","Bypass Outfall",110,NA
"Observation","CCU - Catherine Creek at Union","03","03","Downstream Array","Downstream Array",100,NA
"Observation","ANR - Antoine Creek at AV Ranch","01","01","Single Antenna","Single Antenna",100,NA
